epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2009.45,0.48202,0.3876,1.14971,0.97196,0.97886,0.9892,0.84318,0.68576,0.41901,1.25164,0.000742625,0.000742625,0.000742625
43,2056.62,0.48857,0.38598,1.15672,0.97859,0.97692,0.98835,0.84894,0.64276,0.37747,1.23049,0.00073025,0.00073025,0.00073025
44,2103.43,0.47781,0.38766,1.14667,0.97849,0.98402,0.98876,0.86068,0.64579,0.37763,1.22185,0.000717875,0.000717875,0.000717875
45,2150.82,0.47524,0.37106,1.15352,0.95729,0.97585,0.98773,0.84778,0.63158,0.38839,1.2154,0.0007055,0.0007055,0.0007055
46,2197.81,0.46129,0.3781,1.14135,0.97203,0.97087,0.98394,0.82976,0.72762,0.43689,1.30812,0.000693125,0.000693125,0.000693125
47,2245.09,0.47063,0.36557,1.14481,0.97098,0.98265,0.98963,0.86024,0.62948,0.37172,1.20456,0.00068075,0.00068075,0.00068075
48,2292.14,0.46218,0.36329,1.13526,0.98361,0.9765,0.99021,0.85853,0.62539,0.35434,1.18888,0.000668375,0.000668375,0.000668375
49,2339.37,0.4609,0.35536,1.13993,0.9839,0.98124,0.99045,0.86038,0.63107,0.36199,1.19688,0.000656,0.000656,0.000656
50,2386.3,0.45847,0.37302,1.13825,0.98871,0.97956,0.98993,0.8562,0.64362,0.37571,1.21762,0.000643625,0.000643625,0.000643625
51,2433.46,0.4719,0.36139,1.1518,0.98476,0.97377,0.98909,0.85374,0.64764,0.35595,1.22236,0.00063125,0.00063125,0.00063125
52,2480.92,0.45452,0.3566,1.13654,0.98714,0.98318,0.99309,0.86285,0.65686,0.39518,1.23474,0.000618875,0.000618875,0.000618875
53,2528.09,0.45501,0.35187,1.1347,0.97522,0.9795,0.98652,0.85242,0.66654,0.40223,1.25062,0.0006065,0.0006065,0.0006065
54,2575,0.44857,0.35523,1.13403,0.98351,0.98013,0.99216,0.86029,0.6379,0.3627,1.20812,0.000594125,0.000594125,0.000594125
55,2621.92,0.4554,0.35198,1.13535,0.98147,0.99258,0.99339,0.85883,0.64245,0.34489,1.18323,0.00058175,0.00058175,0.00058175
56,2668.91,0.44117,0.34704,1.12505,0.97719,0.98868,0.99246,0.86491,0.64449,0.37721,1.20637,0.000569375,0.000569375,0.000569375
57,2716.05,0.4527,0.35171,1.13439,0.9843,0.98822,0.99097,0.86323,0.63595,0.36173,1.19356,0.000557,0.000557,0.000557
58,2763.55,0.44313,0.33657,1.12197,0.98308,0.98063,0.99263,0.86668,0.63859,0.35468,1.19224,0.000544625,0.000544625,0.000544625
59,2810.65,0.44543,0.34159,1.12539,0.98508,0.98773,0.9927,0.8653,0.63153,0.37871,1.19833,0.00053225,0.00053225,0.00053225
60,2858.08,0.43425,0.3344,1.13067,0.98053,0.98423,0.98867,0.87088,0.59685,0.33168,1.15325,0.000519875,0.000519875,0.000519875
61,2905.37,0.43524,0.32703,1.11465,0.97273,0.98179,0.99193,0.86521,0.60936,0.35047,1.17713,0.0005075,0.0005075,0.0005075
62,2952.55,0.42758,0.33157,1.11882,0.98327,0.98281,0.99215,0.86372,0.60671,0.35496,1.18019,0.000495125,0.000495125,0.000495125
63,2999.8,0.42507,0.32281,1.11667,0.98468,0.99098,0.9925,0.8696,0.61749,0.35737,1.18863,0.00048275,0.00048275,0.00048275
64,3047.56,0.42937,0.32704,1.12317,0.97836,0.98358,0.98927,0.8702,0.60709,0.35707,1.17174,0.000470375,0.000470375,0.000470375
65,3095,0.43888,0.32217,1.12256,0.98181,0.99073,0.99192,0.86954,0.62475,0.34844,1.17506,0.000458,0.000458,0.000458
66,3142.62,0.41791,0.31649,1.11099,0.98426,0.99121,0.99259,0.87031,0.61683,0.34435,1.17364,0.000445625,0.000445625,0.000445625
67,3189.59,0.44052,0.32593,1.12591,0.97534,0.99007,0.98976,0.86803,0.6238,0.3548,1.18986,0.00043325,0.00043325,0.00043325
68,3237.11,0.41699,0.31394,1.10611,0.98859,0.98465,0.99268,0.86885,0.62695,0.38416,1.20409,0.000420875,0.000420875,0.000420875
69,3284.11,0.41043,0.31571,1.09923,0.98326,0.987,0.99213,0.87161,0.597,0.3484,1.16712,0.0004085,0.0004085,0.0004085
70,3331.6,0.41389,0.30949,1.10479,0.98242,0.98644,0.99249,0.86776,0.61097,0.34739,1.17619,0.000396125,0.000396125,0.000396125
71,3382.48,0.41351,0.30212,1.1012,0.99149,0.98557,0.99384,0.87291,0.58282,0.3233,1.14785,0.00038375,0.00038375,0.00038375
72,3436.39,0.41339,0.31139,1.10251,0.98777,0.99107,0.99368,0.86987,0.59392,0.34321,1.17266,0.000371375,0.000371375,0.000371375
73,3490.2,0.41401,0.29954,1.09578,0.98154,0.99357,0.99397,0.86745,0.6134,0.35327,1.1755,0.000359,0.000359,0.000359
74,3536.95,0.42061,0.30837,1.11217,0.9806,0.9919,0.99256,0.86629,0.62751,0.33885,1.16391,0.000346625,0.000346625,0.000346625
75,3584.03,0.40332,0.29766,1.09638,0.97761,0.99202,0.99139,0.87036,0.59817,0.32622,1.15219,0.00033425,0.00033425,0.00033425
76,3630.94,0.39963,0.29208,1.09484,0.97428,0.98469,0.99169,0.87023,0.6086,0.35725,1.16041,0.000321875,0.000321875,0.000321875
77,3678.55,0.40807,0.29827,1.09759,0.98824,0.97803,0.99355,0.86697,0.6203,0.33938,1.15419,0.0003095,0.0003095,0.0003095
78,3725.53,0.39694,0.29573,1.09943,0.98714,0.98959,0.99354,0.86588,0.61633,0.35593,1.17855,0.000297125,0.000297125,0.000297125
79,3773,0.39772,0.29773,1.08776,0.98848,0.98536,0.99338,0.87121,0.5999,0.33535,1.16327,0.00028475,0.00028475,0.00028475
80,3820.52,0.389,0.27974,1.08823,0.98588,0.99181,0.99406,0.87234,0.59736,0.33236,1.15145,0.000272375,0.000272375,0.000272375
81,3868.01,0.40138,0.29771,1.09684,0.98257,0.99174,0.99342,0.86623,0.6186,0.3487,1.17502,0.00026,0.00026,0.00026
82,3915.25,0.38996,0.29269,1.08394,0.98616,0.98914,0.99295,0.87053,0.61279,0.34648,1.17926,0.000247625,0.000247625,0.000247625
83,3962.79,0.39553,0.28692,1.09021,0.98562,0.99146,0.99409,0.8721,0.60517,0.334,1.17033,0.00023525,0.00023525,0.00023525
84,4009.82,0.38041,0.28519,1.08441,0.98851,0.9888,0.99377,0.86804,0.61837,0.34047,1.17074,0.000222875,0.000222875,0.000222875
85,4056.98,0.38442,0.28449,1.08428,0.98668,0.98807,0.99341,0.87471,0.60443,0.3298,1.15656,0.0002105,0.0002105,0.0002105
86,4104.1,0.3762,0.27287,1.07894,0.98536,0.99018,0.99382,0.87448,0.60775,0.33829,1.16146,0.000198125,0.000198125,0.000198125
87,4151.34,0.39183,0.28131,1.08918,0.98408,0.99028,0.99323,0.87449,0.59855,0.3306,1.15701,0.00018575,0.00018575,0.00018575
88,4198.57,0.37943,0.27504,1.08002,0.98946,0.98978,0.99352,0.87634,0.59472,0.33318,1.15427,0.000173375,0.000173375,0.000173375
89,4246,0.37264,0.27513,1.07331,0.98847,0.98863,0.99341,0.87903,0.57406,0.31006,1.13255,0.000161,0.000161,0.000161
90,4293.76,0.36971,0.26624,1.07484,0.98469,0.98977,0.99393,0.87452,0.59994,0.3299,1.15714,0.000148625,0.000148625,0.000148625
91,4336.43,0.33924,0.24849,1.14957,0.98757,0.99165,0.99395,0.87403,0.60033,0.33708,1.14971,0.00013625,0.00013625,0.00013625
92,4379.13,0.3195,0.19384,1.13209,0.98388,0.99047,0.99401,0.87781,0.58222,0.33078,1.14268,0.000123875,0.000123875,0.000123875
93,4421.68,0.31103,0.18596,1.11329,0.98713,0.99311,0.99424,0.87702,0.59212,0.33581,1.15759,0.0001115,0.0001115,0.0001115
94,4464.19,0.31418,0.18979,1.12703,0.98461,0.99047,0.99355,0.8793,0.57932,0.32376,1.14881,9.9125e-05,9.9125e-05,9.9125e-05
95,4506.79,0.3064,0.18354,1.11358,0.98597,0.99264,0.99412,0.87561,0.58672,0.32286,1.14998,8.675e-05,8.675e-05,8.675e-05
96,4549.51,0.30471,0.18447,1.11484,0.98634,0.99365,0.9942,0.87736,0.58339,0.31778,1.14167,7.4375e-05,7.4375e-05,7.4375e-05
97,4592.17,0.30649,0.18525,1.10911,0.98757,0.99386,0.9942,0.87342,0.59551,0.3326,1.15453,6.2e-05,6.2e-05,6.2e-05
98,4634.85,0.30377,0.18027,1.11019,0.98754,0.99448,0.99438,0.87444,0.58956,0.32861,1.14684,4.9625e-05,4.9625e-05,4.9625e-05
99,4677.53,0.29928,0.17789,1.09265,0.98726,0.9909,0.99394,0.8746,0.59209,0.33291,1.15541,3.725e-05,3.725e-05,3.725e-05
100,4720.58,0.29434,0.17243,1.10171,0.98637,0.99108,0.99392,0.87309,0.58832,0.32965,1.14905,2.4875e-05,2.4875e-05,2.4875e-05
